question,answer,resourse,sphere_id,topic_id,subtopic_id,Level,type_interview,company_ids
Какие основные типы задач машинного обучения существуют?,"Основные типы задач машинного обучения:
Обучение с учителем (Supervised Learning): модели обучаются на размеченных данных, где каждому входному примеру соответствует выходной ответ. К задачам относятся классификация и регрессия.
Обучение без учителя (Unsupervised Learning): модели обучаются на неразмеченных данных без предоставления выходной информации. К задачам относятся кластеризация, снижение размерности и ассоциативное обучение.
Полуобученное обучение (Semi-supervised Learning): использует как размеченные, так и неразмеченные данные для обучения модели.
Обучение с подкреплением (Reinforcement Learning): агент обучается взаимодействовать с окружающей средой, чтобы выполнить определенную задачу, максимизируя некоторую награду.",https://habr.com/ru/articles/448892/,1,1,1,,2,1
Что такое алгоритмы без учителя в машинном обучении?,"Алгоритмы без учителя в машинном обучении предназначены для работы с неразмеченными данными, то есть данными, где нет заранее определенных выходных меток или ответов. Они позволяют находить в данных закономерности, структуры или группы, не требуя заранее известных ответов. К основным задачам алгоритмов без учителя относятся кластеризация, снижение размерности и ассоциативное обучение.",https://habr.com/ru/articles/448892/,1,1,1,,2,1
"Расскажите о принципе работы линейной регрессии, её преимуществах, функции потерь, используемой для линейной регрессии, и проблемах, связанных с большими значениями весовых коэффициентов.","инейная регрессия - это метод статистического моделирования, используемый для анализа отношений между зависимой переменной и одной или несколькими независимыми переменными. Принцип работы линейной регрессии заключается в поиске линейной зависимости между независимыми и зависимой переменными путем подбора оптимальных весовых коэффициентов.
 
Преимущества линейной регрессии включают:
Простота и интерпретируемость: линейные модели легко интерпретировать и объяснить.
Эффективность: линейная регрессия имеет низкую вычислительную сложность и может быть быстро обучена на больших наборах данных.
Гибкость: линейная регрессия может быть легко расширена для учета сложных отношений между переменными, включая полиномиальные и взаимодействующие признаки.
 
Функция потерь, обычно используемая для линейной регрессии, - это среднеквадратичная ошибка (MSE), которая измеряет среднеквадратичное отклонение предсказанных значений от фактических значений.
 
Одной из проблем, связанных с большими значениями весовых коэффициентов, является переобучение модели. Большие веса могут привести к чрезмерной адаптации к обучающим данным, что ухудшит обобщающую способность модели на новых данных. Для борьбы с этой проблемой часто используются методы регуляризации, такие как L1 (Lasso) и L2 (Ridge) регрессии, которые штрафуют за большие значения весовых коэффициентов, помогая уменьшить их размер и предотвратить переобучение.",https://ml-cheatsheet-russian.readthedocs.io/ru/latest/linear_regression.html,1,1,2,,2,1
"Почему у линейной регрессии функция потерь именно квадратичная, а не кубическая, с четвертой или пятой степенью?","Линейная регрессия использует квадратичную функцию потерь, потому что она является удобной математической формой для оптимизации и имеет несколько важных свойств:
Простота: Функция потерь в форме квадрата разности между предсказанными и фактическими значениями делает вычисления более простыми и эффективными.
Выпуклость: Функция потерь в форме квадрата является выпуклой функцией, что означает, что у нее есть один глобальный минимум. Это облегчает процесс оптимизации.
Интерпретируемость: Минимизация квадратичной функции потерь приводит к оценкам параметров модели, которые можно легко интерпретировать, так как они имеют прямую связь с наиболее вероятным набором параметров данных.
Математические свойства: Многие методы оптимизации, такие как метод наименьших квадратов (МНК), легко применяются к квадратичной функции потерь.

Хотя в некоторых случаях могут быть использованы другие функции потерь, квадратичная функция потерь является стандартным выбором для линейной регрессии из-за своей эффективности и удобства.",https://ml-cheatsheet-russian.readthedocs.io/ru/latest/linear_regression.html,1,1,2,,2,1
В чём основная проблема линейной регрессии в машинном обучении?,"Основная проблема линейной регрессии заключается в том, что она может плохо справляться с моделированием сложных нелинейных зависимостей между признаками и целевой переменной. Линейная регрессия предполагает линейную связь между признаками и целевой переменной, что может быть недостаточно для точного предсказания в случае сложных данных.",https://ml-cheatsheet-russian.readthedocs.io/ru/latest/linear_regression.html,1,1,2,,2,1
"Расскажите о принципе работы логистической регрессии и о функции потерь, используемой для нее.","Логистическая регрессия - это метод классификации, который используется для прогнозирования вероятности принадлежности наблюдения к определенному классу. Принцип работы логистической регрессии заключается в преобразовании линейной комбинации признаков в вероятности с использованием сигмоидной функции (логистической функции).
 
Функция потерь, обычно используемая для логистической регрессии, называется кросс-энтропией (или логистической функцией потерь). Она измеряет разницу между фактическими и предсказанными вероятностями классов и минимизируется в процессе обучения модели.",https://ml-cheatsheet-russian.readthedocs.io/ru/latest/logistic_regression.html,1,1,3,,2,1
"Формула логрега, как обучается. Как проверить статзначимость коэффициентов?","Формула логистической регрессии выглядит следующим образом:

P(y = 1 | x) = 1 / (1 + e^-(β0 + β1 * x1 + β2 * x2 + ... + βn * xn))

где:

P(y = 1 | x) – вероятность того, что целевая переменная y равна 1 при условии значений предикторов x.
β0, β1, β2, ..., βn – коэффициенты модели, которые необходимо оценить.
x1, x2, ..., xn – значения предикторов.
Обучение логистической регрессии осуществляется путем минимизации функции потерь, такой как кросс-энтропия, с использованием методов оптимизации, таких как градиентный спуск или его вариации. Для проверки статистической значимости коэффициентов в логистической регрессии обычно используются методы, такие как z-тест или t-тест. Они оценивают стандартную ошибку коэффициентов и проверяют гипотезу о их значимости по сравнению с нулевым значением. Кроме того, часто используются стандартные статистические пакеты, которые автоматически проводят такие проверки при оценке модели.",https://ml-cheatsheet-russian.readthedocs.io/ru/latest/logistic_regression.html,1,1,3,,2,1
Логистическая регрессия подробно и с мат. аппаратом.,"Логистическая регрессия — это статистическая модель, используемая для оценки вероятности принадлежности к определённому классу (обычно бинарному). Она широко применяется в машинном обучении для задач классификации.

Математическая модель:
Основой логистической регрессии является логистическая функция, также называемая сигмоидной функцией, которая описывается формулой:

σ(z) = 1 / (1 + e^(-z)),
где z — это линейная комбинация входных признаков x и их весов w, плюс свободный член b:

z = w1 * x1 + w2 * x2 + ... + wn * xn + b.
Вероятность и классификация:

Логистическая регрессия моделирует вероятность P(y = 1 | x) того, что пример x принадлежит классу y = 1, как:

P(y = 1 | x) = σ(w • x + b),

где w • x обозначает скалярное произведение векторов весов и признаков, а b — смещение (bias).
Обучение модели:

Цель обучения — найти параметры w и b, которые минимизируют ошибку между предсказанными и истинными метками. В логистической регрессии часто используется функция потерь, называемая логистической потерей или перекрёстной энтропией:

L(y, y^) = - [y * log(y^) + (1 - y) * log(1 - y^)],

где y — истинная метка, а y^ — предсказанная вероятность.

Оптимизация:

Для минимизации функции потерь обычно используют методы оптимизации, такие как градиентный спуск. В каждом шаге веса w и смещение b обновляются в направлении, уменьшающем функцию потерь.
Логистическая регрессия эффективна для задач, где искомые зависимости в данных могут быть аппроксимированы линейной зависимостью, и она является фундаментом для многих других методов машинного обучения.",https://ml-cheatsheet-russian.readthedocs.io/ru/latest/logistic_regression.html,1,1,3,,2,1
"Написать формулу логистической регрессии. Что такое логит, как она разделяет классы?","Формула логистической регрессии:

P(y = 1 | x) = 1 / (1 + e^(-z)),

где P(y = 1 | x) — вероятность принадлежности к классу 1 для входного признака x, e — основание натурального логарифма,
z — линейная комбинация входных признаков с их весами:
z = w1 * x1 + w2 * x2 + ... + wn * xn + b.

Логит — это логарифм отношения вероятности принадлежности к классу 1 к вероятности принадлежности к классу 0:

L(y, y^) = -[y * log(y^) + (1 - y) * log(1 - y^)].

Логистическая регрессия разделяет классы, используя логистическую функцию, которая преобразует линейную комбинацию признаков в вероятность принадлежности к одному из классов. После обучения модели с помощью метода максимального правдоподобия или других методов оптимизации, граница решения между классами строится на основе вероятностей, полученных из логистической функции.",https://ml-cheatsheet-russian.readthedocs.io/ru/latest/logistic_regression.html,1,1,3,,2,1
Какая разница между регуляризацией L1 и L2?,"Регуляризация L1 (Lasso) и L2 (Ridge) являются двумя различными методами регуляризации, применяемыми для уменьшения переобучения и улучшения обобщающей способности модели в машинном обучении:
L1 (Lasso) регуляризация:
Использует сумму абсолютных значений весовых коэффициентов как часть функции потерь.
Приводит к разреженности модели, так как может установить некоторые весовые коэффициенты в ноль, что эквивалентно отбору признаков.
Часто используется для отбора признаков и уменьшения размерности модели.
 
L2 (Ridge) регуляризация:
Использует сумму квадратов весовых коэффициентов как часть функции потерь.
Предотвращает переобучение путем штрафования больших значений весовых коэффициентов, но не обнуляет их.
Обычно используется для стабилизации обучения и уменьшения чувствительности модели к изменениям в данных.",https://neerc.ifmo.ru/wiki/index.php?title=Регуляризация,1,1,4,,2,1
